videoId,commentId,author,text,likeCount,replyCount,supportive,toxic,level,obscene,insult,threat,personal
CpB63-N6zH0,UgyJGsSnq166zSqHaz94AaABAg,baskuai kong,我想替天下人保管钱,0,0,0,0,0,0,0,0,0
CpB63-N6zH0,UgycNRTzaV6hGOAIiZB4AaABAg,Pei-Yu Huang,喜歡啾啾鞋的說書風格！不過中途不斷插入換台（章節）的音樂，個人感覺有點突兀，會中斷聽說書的情緒，有點可惜。,0,0,0.5,0,1,0,0,0,0
CpB63-N6zH0,UgyEIRumQgWZQbNdQ2N4AaABAg,ling cheney,捡来的古董😂😂 好羡慕随随便便可以捡到古董,0,0,0.6,0,0.4,0,0,0,0
CpB63-N6zH0,Ugy1_ERxo6Jv0Etliv54AaABAg,CAWED DAN,那叫窃！,0,0,0,0,0,0,0,0,0
CpB63-N6zH0,Ugzr4wt1Rm1o3Rmgp-h4AaABAg,nana mai,哈哈O(∩_∩)O哈哈~优雅的贼真是够黑色幽默我喜欢,0,0,1,0,0.7,0,0,0,0
CpB63-N6zH0,Ugyr13yysKiZzXL0Rrd4AaABAg,lch99310,"跪求啾啾鞋 啾讀 “洞悉市場的人: 量化交易之父吉姆．西蒙斯與文藝復興公司的故事”  這本書

ISBN 13 ／9789865535025",0,0,0,0,0,0,0,0,0
CpB63-N6zH0,UgxdzPWspf5Zmwf9uzt4AaABAg,La La La,這個故事有被寫成小說或改編電影嗎？,0,0,0,0,0,0,0,0,0
CpB63-N6zH0,UgxZ8dlUsc7evcZAq3N4AaABAg,Kelly,怎麼辦？我覺得他乖乖站在那裡被抓很可愛,0,0,1,0,0.4,0,0,0,0
CpB63-N6zH0,Ugz7QzovJDdThdIsLTR4AaABAg,jerry wu,窃书不算偷,0,0,0,0,0,0,0,0,0
CpB63-N6zH0,UgwjFfYOBPfqOhfJNcN4AaABAg,jerry wu,小丑在舞台，大师在民间,0,0,0,0,0,0,0,0,0
CpB63-N6zH0,UgwsBrdJSeEtag2O4lh4AaABAg,bunny funny,为什么给精神病人定罪？,0,0,0,0,0,0,0,0,0
CpB63-N6zH0,UgzwCFZIogTh0G44N9R4AaABAg,Caren Lee,很浪漫欸～這個偷書工程～可以拍成電影～～,0,0,1,0,0.4,0,0,0,0
CpB63-N6zH0,Ugz7pzQ8LBDMEet78th4AaABAg,Simon Wang,转场声音，是真NN恶心,0,0,0,1,1,0,0,0,0
CpB63-N6zH0,UgwWuUw1f9lliBcqSa14AaABAg,Dragon Warrior,國外版孔乙己,0,0,0,0,0,0,0,0,0
CpB63-N6zH0,UgwuG95DGzr4AOfqGv14AaABAg,襲水,這集最棒,0,0,1,0,1,0,0,0,0
CpB63-N6zH0,UgypjA0vNgepHYgKWUZ4AaABAg,Devin Dai,用该给一个图书馆馆长  给他当,0,0,0,0,0,0,0,0,0
CpB63-N6zH0,UgzJBmaTNY5wp631TqB4AaABAg,Sun Peng,应该让他做导读,0,0,0,0,0,0,0,0,0
CpB63-N6zH0,Ugy2tuQhG518ZLab1cZ4AaABAg,Aaron Kunz,"02:54
02:50
11:37",0,0,0,0,0,0,0,0,0
CpB63-N6zH0,UgyuOKiPaqyybPTVD6d4AaABAg,SIHANG ZHANG,能不能把我的作业偷走,1,0,0,0,0,0,0,0,0
CpB63-N6zH0,UgwxcXSBqnRB4DGMT-Z4AaABAg,みৡ純屬〃の娛み,有承太郎欸 呵呵,0,0,0,0,0,0,0,0,0
CpB63-N6zH0,Ugz3nWVswQqkrVgIbYV4AaABAg,Cookie Tan,Hi 啾啾鞋，可以请问你中间那些插图你是在什么网站上找到的吗？,0,0,0,0,0,0,0,0,0
CpB63-N6zH0,UgytLAPm4u5qL-f4otZ4AaABAg,Logic Mr.,我也有收藏癖好，都保管在d槽裡面,0,0,0,0,0,0,0,0,0
CpB63-N6zH0,Ugw-p28FZIYVFV2d0n14AaABAg,Minecraft天哥,史蒂夫....,0,0,0,0,0,0,0,0,0
CpB63-N6zH0,UgyKfdLBsF-_LzIDvtN4AaABAg,Zainan Victor Zhou,偷书，读书人的事，能叫偷吗,0,0,0,0,0,0,0,0,0
CpB63-N6zH0,UgzD8-LEEaa_1fTAjJp4AaABAg,feifei huang,恋物癖？,0,0,0,0,0,0,0,0,0
CpB63-N6zH0,Ugyh-_ItjhGy7yG-Pzp4AaABAg,fr pp,癖好,0,0,0,0,0,0,0,0,0
CpB63-N6zH0,Ugyz6Wd_Ll5rtiUUj194AaABAg,"君子藏器于身,待时而动",第一次看，不漏脸更好,0,0,0.4,0,0.8,0,0,0,0
CpB63-N6zH0,Ugw4lHHuQWSg0FfIMdZ4AaABAg,天生狂熱,台灣法官:因為嫌犯患有精神疾病而殺人，所以無罪釋放，結案。,0,0,0,0,0,0,0,0,0
CpB63-N6zH0,Ugzh4xLCIWQDFJ-Qdgd4AaABAg,Wang DD,那只偷a書呢 ~~~~,0,0,0,0,0,0,0,0,0
CpB63-N6zH0,UgxcE9r7jRvWyilguth4AaABAg,Ryan,館長是 飆汗嗎,0,0,0,0,0,0,0,0,0
CpB63-N6zH0,UgyTQKXi32JVS56BREp4AaABAg,董淑杰,美国精神病还判刑吗,0,0,0,0,0,0,0,0,0
CpB63-N6zH0,Ugzw_CQg8Aa7IbvHg014AaABAg,黃滌,有些自閉症類型的也會。,0,0,0,0,0,0,0,0,0
CpB63-N6zH0,UgwskdfBsRMYxh7vGiJ4AaABAg,Lu chris,想請問一下啾啾鞋 跟 啾粉 為什麼啾讀系列都沒有編號了呢？  有人知道的嗎？？,0,0,0,0,0,0,0,0,0
CpB63-N6zH0,UgwWVcA4kMz6DybOz0V4AaABAg,小林のゲームセンター,被小偷耽誤的圖書館長w,0,0,0,0,0,0,0,0,0
CpB63-N6zH0,Ugx-fDTFQSjdddP2L5h4AaABAg,愈大球,弯弯的电信诈骗驰名中外,0,0,0,0,0,0,0,0,0
CpB63-N6zH0,UgwRN-_HyarFsWrQ_5B4AaABAg,Sonic liu,世上真有万用钥匙吗。。。,0,0,0,0,0,0,0,0,0
CpB63-N6zH0,Ugy7lrAQTKxYlIhbvb14AaABAg,Rubee L.,怪不得...人家說撿垃圾的都是有錢人,0,0,0,0,0,0,0,0,0
CpB63-N6zH0,UgyPStHBlRMxtc_LKwl4AaABAg,比利,找館長幫忙？,0,0,0,0,0,0,0,0,0
CpB63-N6zH0,UgzqFu2p_9ywi20Vkjp4AaABAg,Lyra Dawnbringer,這些跟主題相符的影片片段　有版權嗎？　如果我也想做類似的影片，我需要盜版才能完成嘛？,0,0,0,0,0,0,0,0,0
CpB63-N6zH0,UgxrNAnrLjjjlO210L94AaABAg,杰主任的国文课堂,我是第一千位！,0,0,0,0,0,0,0,0,0
CpB63-N6zH0,UgznhxtFjhkTEJ6uF5R4AaABAg,ZZ27,10:27：史蒂芬：淦！,0,0,0,0,0,0,0,0,0
CpB63-N6zH0,Ugxr_WGOkZUuQHanpoV4AaABAg,微米探險家 Micro Explorer,回字有四種寫法，不知道他會不會。,1,1,0,0,0,0,0,0,0
CpB63-N6zH0,UgzAThygYXi8QgFa7Dp4AaABAg,HU Z,雖然偷竊行為不可取，但把一件事物留在懂得其價值的人身邊或許會更好。畢竟一本書的價值在於被閱讀，如果沒人閱讀那本書那它本身就像不存在一般。,0,0,0,0,0,0,0,0,0
CpB63-N6zH0,UgzK1YsWrEPk7cqy1ep4AaABAg,Jason Liu,偷書叫雅賊，偷內褲叫变態！這叫後者情何以堪！,0,0,0,0,0,0,0,0,0
CpB63-N6zH0,Ugx_Y1KrIIKn1uteJq54AaABAg,Queenie Zhou,一开始的 hey 把我吓到了,0,0,0,0.6,0.7,0,0,0,0
CpB63-N6zH0,Ugzn41WwzCIVMBNgajN4AaABAg,JezzaL00,有神經病的都是天才，天才都是精神病,0,0,0,0,0,0,0,0,0
CpB63-N6zH0,UgyKlEJfHjynFuXZns54AaABAg,Jessica Lee,"怎樣才算是發揮書的最大價值呢？
永遠被封存在世界上某個不為人知的角落，
還是被識貨的人拿去閱讀呢？",6,0,0,0,0,0,0,0,0
CpB63-N6zH0,UgwJ8JJJo7HBsYp4Dop4AaABAg,Richard Vong,这么巧的么，介绍的这位偷书贼的家乡，就是这两天在着火的黑人虐待致死的地方。,0,0,0,0,0,0,0,0,0
CpB63-N6zH0,UgzP7hxF9V8ZuBE6XsZ4AaABAg,沒有夢的世界巴洛克,史帝夫和戴夫......,0,0,0,0,0,0,0,0,0
CpB63-N6zH0,UgxjNnA16wz3_djWAxB4AaABAg,仔元,我非常愛錢，想替天下人保管錢，有人要跟我一起保管嗎,0,0,0,0,0,0,0,0,0
