videoId,commentId,author,text,likeCount,replyCount,supportive,toxic,level,obscene,insult,threat,personal
8-kgAqtuqNM,UgySUisMhuCoLMDYozd4AaABAg,戴小茂,汽車品牌😅,0,0,0,0,0,0,0,0,0
8-kgAqtuqNM,UgzhhO83j1ATvy_pFZh4AaABAg,Dang Yueqiao,我以前都念asus，现在看到了这部影片，就改念asus了,0,0,0.6,0,0.5,0,0,0,0
8-kgAqtuqNM,UgyYjoqZrIk2YYrLO5B4AaABAg,祐祐,上次我爸就把Skype念錯被我糾正,0,0,0,0,0,0,0,0,0
8-kgAqtuqNM,Ugz7N5EtCJqil7q8uud4AaABAg,Zenghiok Ng,p什麼hub要怎麼念痾🌚,0,0,0,0,0,0,0,0,0
8-kgAqtuqNM,UgzyEeKZJfpjUE0AI8R4AaABAg,右丞,敷衍那一段是在致敬Mr.Yang 嗎XD,0,0,0.5,0,0.4,0,0,0,0
8-kgAqtuqNM,UgxoHt_FtFjhK1rC9Nh4AaABAg,Chen Wang,美国人很烦，乱念别人的品牌，还搞得全世界都跟着他们的发音念。,0,0,0,1,0.4,0,0,0,0
8-kgAqtuqNM,UgxkrhD7NotXYmxwfZR4AaABAg,Joyce,精品的部分直接放飛自我😂,0,0,0.4,0,0.4,0,0,0,0
8-kgAqtuqNM,UgzAuYGrYBvPndDawwN4AaABAg,Gabriel CP,求herschel,0,0,0,0,0,0,0,0,0
8-kgAqtuqNM,Ugz0RxwREIKcUstlAN54AaABAg,林玉緜,請問法國鱷魚與日本鱷魚發音有何不同,0,0,0,0,0,0,0,0,0
8-kgAqtuqNM,UgzxGs9pTuMfPxnY0gV4AaABAg,許又文,在華碩內部工作，同事間都唸「阿樹斯」,0,0,0,0,0,0,0,0,0
8-kgAqtuqNM,UgySLt2Ui9bkGVNsag94AaABAg,許麒祥,2:29 我才發現阿滴說得沒錯耶家樂福的logo 有一個C,0,0,0,0,0,0,0,0,0
8-kgAqtuqNM,UgxmMDmCiVE32GBfqHh4AaABAg,Sean G,"2年之后，youtube知道我很无聊，所以推荐了这个视频，让我反省一下自己的屌丝生活。
会念什么样的品牌，代表什么样的屌丝生活。
costco, ikea , McDonalds, starbucks 这几个太熟了，而最后面的奢侈品。。。。。。",0,0,0,0,0,0,0,0,0
8-kgAqtuqNM,UgyfJu3YNj1O0nOQuKh4AaABAg,16_Rosanna_ Lam,完全沒想過老師竟然發阿滴的影片讓我們學習,0,0,1,0,1,0,0,0,0
8-kgAqtuqNM,Ugzfka-lPRkyMTow_OR4AaABAg,Alex Hsieh,Gucci怎麼唸? 果汁?,0,0,0,0,0,0,0,0,0
8-kgAqtuqNM,UgxM3K-SJx5HnRWM38N4AaABAg,Hungyi Chen,YouTube 自己跳出來才看到這個影片，有人提過影片中介紹YouTube 的音節標錯了嗎？,0,0,0,0,0,0,0,0,0
8-kgAqtuqNM,UgxtVfU48_j3FUuKvdh4AaABAg,Elim Hsiao,ua,0,0,0,0,0,0,0,0,0
8-kgAqtuqNM,UgxnKPztSxsTTiCiNpl4AaABAg,Licorne,只记住了，油吐比,0,0,0,0,0,0,0,0,0
8-kgAqtuqNM,Ugz06tsHS9pBTLekgtZ4AaABAg,sam w,宏碁不应该读成hong qi二声 吗,0,0,0,0,0,0,0,0,0
8-kgAqtuqNM,UgyvPPBIg8oYqO76TBh4AaABAg,楊瓜吉,Ck and ua,0,0,0,0,0,0,0,0,0
8-kgAqtuqNM,UgzdRKpW9fkpt1aiyhN4AaABAg,薛文,https://www.youtube.com/watch?v=uYVz9uP5q90,0,0,0,0,0,0,0,0,0
8-kgAqtuqNM,UgwaX8AOhd2sz48youR4AaABAg,薛文,宏碁中文唸法https://kknews.cc/zh-tw/digital/a3oxpzx.html,0,0,0,0,0,0,0,0,0
8-kgAqtuqNM,Ugz_FZJ2mmIhmdqSHMZ4AaABAg,jack720320,原來U土B的念法是U吐，以前都念U土B就錯了= =,0,0,0,0,0,0,0,0,0
8-kgAqtuqNM,Ugz9K4IfBrGvfHF5h494AaABAg,Derrick Khoo,我发现阿滴在用英式参美式的口音,0,0,0,0,0,0,0,0,0
8-kgAqtuqNM,Ugy-sR6E0yV6ZE7fb8Z4AaABAg,咻咻,好無聊的錄影,0,0,0,1,1,0,0,0,0
8-kgAqtuqNM,UgxYV-fyYl0yejjJdKF4AaABAg,李柏儒,幹臭屁,0,0,0,1,0.4,0,0,0,0
8-kgAqtuqNM,UgxQ7rn9TQwTOGc41eJ4AaABAg,A'Joe Chang,"突然想到以前有個朋友特別自信和我爭論Louis Vuitton到底s發不發音！

結果，那位發s音的朋友不好意思再聯絡我了～😂",0,0,0.4,0,0.3,0,0,0,0
8-kgAqtuqNM,UgxKj4NOE144T-GNaNZ4AaABAg,SanB 愛KPOP,Crossroads 十字路口 😂,0,0,0.4,0,0.3,0,0,0,0
8-kgAqtuqNM,UgyE6yDKQZDtdZwzC7t4AaABAg,可達牙,Super  me,0,0,0,0,0,0,0,0,0
8-kgAqtuqNM,UgwsOe9l7be2SCmW3CB4AaABAg,陳詮文,所有品牌一次 免費工商,0,0,0,0,0,0,0,0,0
8-kgAqtuqNM,Ugzs_xC8_Fl5z1FCs0d4AaABAg,ting kao hung,costco要看哪個國家發音都不同，我待美國時候當地人就有兩種發音，它們說地區問題,1,0,0,0,0,0,0,0,0
8-kgAqtuqNM,UgwCK2X1KWlbkh4-U1t4AaABAg,hanes tsai,ELLE,0,0,0,0,0,0,0,0,0
8-kgAqtuqNM,Ugyehg_hHz0bp_XB4xp4AaABAg,Yip Rumy,台湾的英语还需要很大的空间进步哦，因为大家真的不普遍使用英文发音😂,0,0,0.4,0,0.3,0,0,0,0
